DATE,,OPPONENT,RESULT,AZSCORE,AWAYSCORE,LINE,RECORD,,,,,,,,,,,,,,,,
Tue 11-09,H,Northern Arizona,W,81,52,70,1-0,,,,,,,,,,,,,,,,
Fri 11-12,H,UT Rio Grande Valley,W,104,50,80,2-0,,,,,,,,,,,,,,,,
Tue 11-16,H,North Dakota St.,W,97,45,71,3-0,,,,,,,,,,,,,,,,
Fri 11-19,N,Wichita St.,W,82,78,88,4-0,,,,,,,,,,,,,,,,
Sun 11-21,N,Michigan,W,80,62,71,5-0,,,,,,,,,,,,,,,,
Sat 11-27,H,Sacramento St.,W,105,59,81,6-0,,,,,,,,,,,,,,,,
Sun 12-05,A,Oregon St.,W,90,65,74,7-0,,,,,,,,,,,,,,,,
Wed 12-08,H,Wyoming,W,94,65,73,8-0,,,,,,,,,,,,,,,,
Sat 12-11,A,Illinois,W,83,79,75,9-0,,,,,,,,,,,,,,,,
Wed 12-15,H,Northern Colorado,W,101,76,79,10-0,,,,,,,,,,,,,,,,
Sat 12-18,H,Cal Baptist,W,84,60,74,11-0,,,,,,,,,,,,,,,,
Wed 12-22,A,Tennessee,L,73,77,75,11-1,,,,,,,,,,,,,,,,
Mon 1-03,H,Washington,W,95,79,77,12-1,,,,,,,,,,,,,,,,
Thu 1-13,H,Colorado,W,76,55,75,13-1,,,,,,,,,,,,,,,,
Sat 1-15,H,Utah,W,82,64,73,14-1,,,,,,,,,,,,,,,,
Thu 1-20,A,Stanford,W,85,57,74,15-1,,,,,,,,,,,,,,,,
Sun 1-23,A,California,W,96,71,71,16-1,,,,,,,,,,,,,,,,
Tue 1-25,A,UCLA,L,59,75,72,16-2,,,,,,,,,,,,,,,,
Sat 1-29,H,Arizona St.,W,67,56,70,17-2,,,,,,,,,,,,,,,,
Thu 2-03,H,UCLA,W,76,66,72,18-2,,,,,,,,,,,,,,,,
Sat 2-05,H,USC,W,72,63,64,19-2,,,,,,,,,,,,,,,,
Mon 2-07,A,Arizona St.,W,91,79,79,20-2,,,,,,,,,,,,,,,,
Thu 2-10,A,Washington St.,W,72,60,71,21-2,,,,,,,,,,,,,,,,
Sat 2-12,A,Washington,W,92,68,70,22-2,,,,,,,,,,,,,,,,
Thu 2-17,H,Oregon St.,W,83,69,67,23-2,,,,,,,,,,,,,,,,
Sat 2-19,H,Oregon,W,84,81,73,24-2,,,,,,,,,,,,,,,,
Thu 2-24,A,Utah,W,97,77,84,25-2,,,,,,,,,,,,,,,,
Sat 2-26,A,Colorado,L,63,79,69,25-3,,,,,,,,,,,,,,,,
Tue 3-01,A,USC,W,91,71,68,26-3,,,,,,,,,,,,,,,,
Thu 3-03,H,Stanford,W,81,69,72,27-3,,,,,,,,,,,,,,,,
Sat 3-05,H,California,W,89,61,67,28-3,,,,,,,,,,,,,,,,
Thu 3-10,N,Stanford,W,84,80,67,29-3,,,,,,,,,,,,,,,,
Fri 3-11,N,Colorado,W,82,72,73,30-3,,,,,,,,,,,,,,,,
Sat 3-12,N,UCLA,W,84,76,69,31-3,,,,,,,,,,,,,,,,
Fri 3-18,N,Wright St. (16),W,87,70,76,32-3,,,,,,,,,,,,,,,,
Sun 3-20,N,TCU (9),W,85,80,82,33-3,,,,,,,,,,,,,,,,
Thu 3-24,N,Houston (5),L,60,72,62,33-4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
