YEAR,Team,DATE,LOCATION,OPPONENT,RESULT,TEAMSCORE,OPPSCORE,RECORD,WAB,ADJO,ADJD,OPPP,OEFG%,OTO%,OOR%,OFTR,DPPP,DEFG%,DTO%,DOR%,DFTR
2018,Arizona,Fri 11-10,H,Northern Arizona,W,101,67,1-0,0,127.9,111.8,139.8,64,15.2,52.2,56.1,92.8,43.1,18,27.9,51.7
2018,Arizona,Sun 11-12,H,UMBC,W,103,78,2-0,0.1,136.8,114,139.9,72.7,17.7,34.6,21.9,105.9,53.2,13.6,17.9,25.8
2018,Arizona,Thu 11-16,H,Cal St. Bakersfield,W,91,59,3-0,0.2,121.4,94.2,125.5,64.3,17.9,30.4,73.5,81.3,40.2,22.1,33.3,34.4
2018,Arizona,Wed 11-22,N,North Carolina St.,L,84,90,3-1,-0.4,118.3,111,114.9,48.4,10.9,38.5,56.5,123.1,56.4,13.7,22.6,63.6
2018,Arizona,Thu 11-23,N,SMU,L,60,66,3-2,-1.1,97.7,94.6,90.9,52.1,30.3,36.7,40.4,100,37.1,12.1,38.5,27.1
2018,Arizona,Fri 11-24,N,Purdue,L,64,89,3-3,-1.3,102.3,107.5,92.4,44.9,15.9,23.7,27.1,128.5,67.6,20.2,30.8,38.9
2018,Arizona,Wed 11-29,H,Long Beach St.,W,91,56,4-3,-1.2,119.9,84.5,129.2,70,17,28,16.7,79.5,47.1,27,20.6,33.3
2018,Arizona,Sat 12-02,A,UNLV,W,91,88,5-3,-0.8,108.5,99.8,108.7,50.7,19.1,34.1,22.7,105.1,55.6,21.5,30.3,41.9
2018,Arizona,Tue 12-05,N,Texas A&M,W,67,64,6-3,-0.3,111.7,92.3,102.2,50,16.8,14.8,51.1,97.6,50,16.8,21.9,17.5
2018,Arizona,Sat 12-09,H,Alabama,W,88,82,7-3,0,128,110.6,119.8,58.9,16.3,36.4,62.5,111.6,46.8,10.9,22.5,45.2
2018,Arizona,Sat 12-16,A,New Mexico,W,89,73,8-3,0.5,136.3,100.4,135.7,73,15.2,28.6,40,111.3,48.4,10.7,21.6,22.6
2018,Arizona,Mon 12-18,H,North Dakota St.,W,83,53,9-3,0.5,120.4,90.7,128.8,53.8,7.8,36.4,19.7,82.2,44.4,20.2,21.6,18.5
2018,Arizona,Thu 12-21,H,Connecticut,W,73,58,10-3,0.6,102.4,91.5,108.8,59,19.4,17.9,38,86.4,45.4,26.8,29.4,20.4
2018,Arizona,Sat 12-30,H,Arizona St.,W,84,78,11-3,0.9,112.1,94.8,111.4,51.6,21.2,36.1,37.1,103.4,43.9,17.2,37.2,37.9
2018,Arizona,Thu 1-04,A,Utah,W,94,82,12-3,1.5,134.2,100,124.1,53.3,15.8,42.4,60,108.2,54.2,14.5,11.1,37.3
2018,Arizona,Sat 1-06,A,Colorado,L,77,80,12-4,1,110.5,114,107.6,43.2,9.8,35.6,23.3,111.8,61.3,21,20,32.1
2018,Arizona,Thu 1-11,H,Oregon St.,W,62,53,13-4,1.1,93.4,85,95.8,47.2,18.5,27.3,30.2,81.9,44.6,23.2,25.7,14.3
2018,Arizona,Sat 1-13,H,Oregon,W,90,83,14-4,1.4,122.2,105.4,119.2,60.9,22.5,22.2,80.4,110,54.4,19.9,28.1,42.1
2018,Arizona,Wed 1-17,A,California,W,79,58,15-4,1.5,115.8,94.7,116.7,73,31,47.8,26,85.7,36.3,20.7,28.6,58.8
2018,Arizona,Sat 1-20,A,Stanford,W,73,71,16-4,2,112.8,96.3,104.2,50.8,15.7,24.2,21.3,101.4,44.3,15.7,33.3,37.7
2018,Arizona,Thu 1-25,H,Colorado,W,80,71,17-4,2.2,130.8,119.5,129.3,59.2,8.1,12.5,46.9,114.8,63.5,16.2,16.7,15.4
2018,Arizona,Sat 1-27,H,Utah,W,74,73,18-4,2.5,126.2,103.9,115.4,75.6,23.4,10,24.4,113.9,50.9,12.5,21.9,38.9
